pCO2,u,sigma,Cl,pH,T,P,t_s,Qw,Qo,Fe,SO4,yN2,yCH4,v,yCO2,Na,Ba,Mg,Ca,Sr,HCO3,TSS,TDS,Alk,FP,D,Di,De,TH,e,Qg
26.169,0.057,598.0,3.666,6.76,90.62,61.0,15.33196440793977,76.95,94.05,0.151,25.372,13.2,42.7,0.2309476940382471,42.9,98.3,0.26,5.3,8.1,0.038,2.91,98.0,418.3,291.0,2.0,6.0,2.067,6.625,20.2,7.11,2.8215e-09
13.904,5.358,495.0,4.505,6.59,247.45,88.0,11.34565366187543,15621.72534,32.87465999999949,0.234,2.832,2.2,81.8,9.917573647888608,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,6.0,3.068,6.625,19.2,6.02,9.862397999999847e-10
23.2388,4.332,456.2,8.450159999999999,6.7036,246.84,65.0,19.89322381930185,12550.97868,106.3213200000009,0.3436,9.89248,12.694,50.67400000000001,3.302784406284475,35.752,52.964,0.4144,6.712,13.456,0.278,2.1692,15.52,320.1,216.92,2.0,6.0,3.068,6.625,32.752,6.02,3.189639600000028e-09
9.92,6.641,446.0,9.957,6.64,245.62,62.0,11.56194387405886,8520.82081,35.07919000000038,0.094,9.892,13.3,70.1,1.3611251470667738,16.0,47.0,0.61,4.9,15.7,0.338,2.06,25.0,311.7,206.0,3.0,4.0,3.068,4.5,39.1,6.02,1.052375700000011e-09
20.28,5.765,430.0,6.185,7.2,248.57,52.0,23.84941820670774,16778.47924,60.62076000000161,0.014,9.036,7.9,52.6,3.4642595975583403,39.0,49.1,0.34,6.4,10.5,0.301,1.97,32.0,301.7,197.0,3.0,6.0,3.068,6.625,26.3,6.02,1.8186228000000481e-09
40.95,7.69,566.0,9.491,6.53,167.88,78.0,3.945242984257358,5900.68997,37.41003000000001,0.194,11.269,26.5,19.9,4.98614807083882,52.5,76.6,0.32,7.7,16.6,0.448,2.69,28.0,396.7,269.0,3.0,3.0,2.067,3.5,41.4,3.91,1.1223009e-09
16.402,0.261,833.0,63.342,6.98,115.75,59.0,5.431895961670089,260.75,89.25,0.126,4.776,10.9,60.4,8.257000889001784,27.8,112.2,0.33,6.5,33.1,1.302,3.31,26.0,583.3,331.0,2.0,4.0,2.067,4.5,82.7,5.49,2.6775000000000003e-09
16.074,0.016,492.0,4.739,6.61,98.41,57.0,15.22792607802875,75.9984,9.2016,0.16,3.178,8.1,63.0,0.5425596072335619,28.2,61.5,0.23,6.8,8.3,0.133,2.5,18.0,343.3,249.0,2.0,8.0,2.067,8.625,21.6,8.18,2.76048e-10
17.7,2.457,675.0,23.803,6.97,242.07,59.0,5.650924024640657,3025.3445,142.5554999999999,0.061,6.208,7.4,62.1,7.449604773240555,30.0,79.4,0.22,7.0,30.8,0.851,3.19,14.0,473.3,319.0,2.0,4.0,3.068,4.5,77.0,5.49,4.276664999999998e-09
9.810700000000002,4.716,2892.64,752.47756,6.775199999999999,247.92,58.0,23.70431211498973,13692.02562,63.27437999999893,0.33824,7.43572,46.43189,35.834,0.3153516933044483,16.915,302.012,2.124,12.304,116.62,3.21116,2.7064,16.96,2025.1,270.64,2.0,6.0,3.068,6.625,291.208,6.02,1.898231399999968e-09
20.1,4.833,675.0,23.803,6.97,244.31,67.0,1.256673511293634,6128.450400000001,99.64959999999974,0.061,6.208,7.4,62.1,20.0,30.0,79.4,0.22,7.0,30.8,0.851,3.19,14.0,473.3,319.0,3.0,4.0,3.068,4.5,77.0,5.49,2.989487999999992e-09
22.2,5.886,675.0,23.803,6.97,245.7,74.0,1.322381930184805,7439.2173,144.0826999999999,0.061,6.208,7.4,62.1,20.0,30.0,79.4,0.22,7.0,30.8,0.851,3.19,14.0,473.3,319.0,3.0,4.0,2.067,4.5,77.0,5.49,4.3224809999999976e-09
29.61672,5.514,428.76,8.5627,6.8852,247.05,68.0,31.11841204654346,16038.78066,74.11933999999928,0.19062,9.10502,8.116,47.55,0.6321519769557224,43.554,46.346,0.334,5.86,13.538,0.32466,2.0072,39.78,301.0,200.72,3.0,6.0,3.068,6.625,33.456,6.02,2.223580199999979e-09
10.586,4.882,495.0,4.505,6.59,248.72,67.0,26.80082135523614,14138.56608,98.23392000000058,0.234,2.832,2.2,81.8,1.7028594686467138,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,6.0,3.068,6.625,19.2,5.49,2.9470176000000166e-09
31.45920000000001,8.6,439.98,10.54422,6.7542,248.64,80.0,31.06365503080082,24971.0692,150.7307999999975,0.10252,9.000710000000002,21.351,37.962,1.747814971039778,39.32400000000001,46.94,0.2711,5.067000000000001,16.575,0.42952,2.065,67.0,308.68,206.85,3.0,6.0,3.068,6.625,41.499,7.11,4.521923999999926e-09
12.166,6.118,495.0,4.505,6.59,244.46,77.0,11.92607802874743,17730.21664,128.5833600000005,0.234,2.832,2.2,81.8,2.9030462101328243,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,3.0,6.0,3.068,6.625,19.2,7.11,3.857500800000016e-09
21.06,9.146,430.0,6.185,7.2,248.0,54.0,9.349760438056126,11670.3318,82.26820000000043,0.014,9.036,7.9,52.6,2.735154079385759,39.0,49.1,0.34,6.4,10.5,0.301,1.97,32.0,301.7,197.0,3.0,4.0,3.068,4.5,26.3,5.49,2.4680460000000128e-09
14.994,6.692,510.8000000000001,9.70536,6.5806,243.67,49.0,0.1834360027378508,8461.664,146.3359999999993,0.148,10.63558,18.58,50.02,20.0,30.6,62.98399999999999,0.4534,6.412000000000001,16.186,0.3974,2.4002,26.62,357.6,240.02,3.0,4.0,3.068,4.5,40.34200000000001,5.49,4.390079999999981e-09
12.441,0.011,598.0,3.666,6.76,90.01,29.0,30.66666666666667,12.312,41.688,0.151,25.372,13.2,42.7,1.2444403515715352,42.9,98.3,0.26,5.3,8.1,0.038,2.91,98.0,418.3,291.0,2.0,8.0,3.068,8.625,20.2,7.11,1.25064e-09
11.22,3.205,624.0,22.749,6.85,243.79,55.0,10.88843258042437,2348.864,47.93600000000015,0.109,9.102,78.4,0.0,9.936564379037732,20.4,72.2,0.21,2.8,30.6,0.521,2.79,24.0,436.7,279.0,2.0,3.0,2.067,3.5,76.4,7.62,1.438080000000005e-09
21.45,2.857,598.0,3.666,6.76,231.36,50.0,4.673511293634497,3653.35091,28.34908999999971,0.151,25.372,13.2,42.7,20.0,42.9,98.3,0.26,5.3,8.1,0.038,2.91,98.0,418.3,291.0,2.0,4.0,3.068,4.5,20.2,5.49,8.50472699999991e-10
22.61652,6.75,430.28,6.36292,7.1828,248.03,58.0,12.04380561259411,19494.35259,190.9474100000007,0.01764,9.0322,8.126,52.362,3.0380025524770327,38.994,48.956,0.3372,6.34,10.748,0.30624,1.9728,33.44,301.9,197.28,3.0,6.0,3.068,6.625,26.92,5.49,5.7284223000000205e-09
7.68,1.455,446.0,9.957,6.64,242.09,48.0,23.89048596851472,4189.1832,68.11679999999978,0.094,9.892,13.3,70.1,3.968816154455595,16.0,47.0,0.61,4.9,15.7,0.338,2.06,25.0,311.7,206.0,2.0,6.0,3.068,6.625,39.1,5.49,2.043503999999994e-09
33.917,11.992,556.9399999999999,9.379459999999998,6.5456,248.72,65.0,1.713894592744695,15288.74655,149.7534500000002,0.21056,11.15338,22.78,23.94,18.593871852280454,52.18,74.71,0.3248,7.646,16.3,0.43276,2.648,26.8,390.4,264.8,3.0,4.0,3.068,4.5,40.572,5.49,4.4926035000000036e-09
31.746,1.519,598.0,3.666,6.76,208.19,74.0,16.76659822039699,1954.458,19.74199999999996,0.151,25.372,13.2,42.7,1.0324681002072638,42.9,98.3,0.26,5.3,8.1,0.038,2.91,98.0,418.3,291.0,2.0,4.0,3.068,4.5,20.2,6.02,5.922599999999987e-10
11.06,5.189,495.0,4.505,6.59,248.33,70.0,21.27036276522929,15084.31375,68.18625000000065,0.234,2.832,2.2,81.8,2.7190134828203765,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,6.0,3.068,6.625,19.2,5.49,2.0455875000000192e-09
9.322,8.002,495.0,4.505,6.59,247.42,59.0,12.03285420944558,5868.6284,107.5716000000002,0.234,2.832,2.2,81.8,5.885356480610576,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,3.0,3.0,3.068,3.5,19.2,5.49,3.2271480000000064e-09
31.558,14.941,415.0,7.632,6.79,248.71,62.0,6.108145106091718,11028.55,133.9500000000007,0.47,9.342,7.9,40.1,6.579323841787216,50.9,45.1,0.4,6.8,11.6,0.194,1.99,8.0,291.7,199.0,1.0,3.0,3.068,3.5,27.6,5.49,4.018500000000022e-09
17.16,0.01,598.0,3.666,6.76,90.0,40.0,11.52361396303901,5.100000000000001,24.9,0.151,25.372,13.2,42.7,0.8193915176141122,42.9,98.3,0.26,5.299999999999999,8.1,0.038,2.91,98.0,418.3,291.0,2.0,6.0,2.067,6.625,20.2,7.11,7.47e-10
27.885,5.806,598.0,3.666,6.76,244.67,65.0,8.714579055441478,4307.0118,29.48819999999978,0.151,25.372,13.2,42.7,1.309243743212589,42.9,98.3,0.26,5.3,8.1,0.038,2.91,98.0,418.3,291.0,3.0,3.0,3.068,3.5,20.2,5.49,8.846459999999933e-10
9.92,0.5,446.0,9.957,6.64,145.0,62.0,0.1998631074606434,138.24,245.76,0.094,9.892,,,0.3189843868296752,16.0,47.0,0.61,4.9,15.7,0.338,2.06,25.0,311.7,206.0,2.0,3.0,2.067,3.5,39.1,5.54,7.362999999999998e-09
12.55628,2.467,519.72,4.30364,6.6308,243.87,44.0,34.1492128678987,7177.789500000001,25.21049999999923,0.21408,8.2416,7.369999999999999,63.423,3.894080505229879,28.537,72.99199999999999,0.2448,5.832,7.796,0.09348,2.5452,38.72,363.884,254.52,2.0,6.0,3.068,6.625,19.44,6.02,7.563149999999767e-10
