pco2_psig,velocidad_fts,conductividad_uscm,cl_ppm,ph_xx,temperatura_f,presion_psig,anos_y,agua_bwpd,crudo_bopd,fe_total,so4_ppm,n2_mol,metano_mol,velcorr_mpy,espesormin_mm,co2_mol,na_ppm,ba_ppm,mg_ppm,ca_ppm,sr_ppm,hco3_megl,sst_ppm,sdt_ppm,alcalinidad_ppm,patronflujo_xx,fault_xx,diametronom_in,diametroint_in,diametroext_in,durezatotal_ppm,espesor_mm,flujogas_mmscfd,velcorrcal_cmpy,desgaste_xx,vidaremanenteactual_yr,vidaremanenteinstalacion_yr
22.099,1.121,478.0,13.176,6.86,236.47,49.0,12.04380561259411,3243.50634,33.09366,0.459,8.897,20.7,33.4,0.1960001646759391,5.43,45.1,55.5,0.28,5.0,18.4,0.61,2.14,45.0,335.0,214.0,2.0,0,6.0,3.068,6.625,46.0,5.49,9.928098e-10,0.19613441136407336,0.01092896174863397,1090.7109589041004,1089.9644079397578
7.742000000000001,0.529,495.0,4.505,6.59,225.21,49.0,23.03901437371663,519.9920000000001,164.208,0.234,2.832,2.2,81.8,3.6714996186973954,3.87,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,0,4.0,3.068,4.5,19.2,6.02,4.926239999999999e-09,3.674014344463626,0.3571428571428571,41.49863013698631,41.470225872689944
26.169,0.057,598.0,3.666,6.76,90.62,61.0,15.33196440793977,76.95,94.05,0.151,25.372,13.2,42.7,0.23094769403824716,7.02,42.9,98.3,0.26,5.3,8.1,0.038,2.91,98.0,418.3,291.0,2.0,0,6.0,2.067,6.625,20.2,7.11,2.8215e-09,0.2311058773903281,0.01265822784810137,1196.7123287671134,1195.8932238192922
13.904,5.358,495.0,4.505,6.59,247.45,88.0,11.34565366187543,15621.72534,32.87465999999949,0.234,2.832,2.2,81.8,9.917573647888608,3.16,15.8,65.0,0.24,6.0,7.7,0.111,2.43,20.0,346.7,243.0,2.0,0,6.0,3.068,6.625,19.2,6.02,9.862397999999847e-10,9.924366506551543,0.47508305647840526,12.544343327904974,12.535757192841386
23.2388,4.332,456.2,8.450159999999999,6.7036,246.84,65.0,19.89322381930185,12550.97868,106.3213200000009,0.3436,9.892479999999999,12.694,50.67400000000001,3.302784406284475,4.35,35.752,52.964,0.4144,6.712,13.456,0.278,2.1692,15.52,320.1,216.92,2.0,0,6.0,3.068,6.625,32.752,6.02,3.189639600000028e-09,3.3050465873846697,0.27740863787375414,51.85317037158559,51.81767881075631
9.92,6.641,446.0,9.957,6.64,245.62,62.0,11.56194387405886,8520.82081,35.07919000000038,0.094,9.892,13.3,70.1,1.3611251470667738,5.62,16.0,47.0,0.61,4.9,15.7,0.338,2.06,25.0,311.7,206.0,3.0,0,4.0,3.068,4.5,39.1,6.02,1.052375700000011e-09,1.362057424564765,0.06644518272425241,162.55657534246595,162.4453114305272
20.28,5.765,430.0,6.185,7.2,248.57,52.0,23.84941820670774,16778.47924,60.62076000000161,0.014,9.036,7.9,52.6,3.4642595975583403,3.92,39.0,49.1,0.34,6.4,10.5,0.301,1.97,32.0,301.7,197.0,3.0,0,6.0,3.068,6.625,26.3,6.02,1.818622800000048e-09,3.4666323781046127,0.34883720930232553,44.549406392694074,44.518913985854454
40.95,7.69,566.0,9.491,6.53,167.88,78.0,3.945242984257358,5900.68997,37.41003000000001,0.194,11.269,26.5,19.9,4.98614807083882,3.41,52.5,76.6,0.32,7.7,16.6,0.448,2.69,28.0,396.7,269.0,3.0,0,3.0,2.067,3.5,41.4,3.91,1.1223009e-09,4.989563240750354,0.1278772378516624,26.924986301369866,26.90655715263518
16.402,0.261,833.0,63.342,6.98,115.75,59.0,5.431895961670089,260.75,89.25,0.126,4.776,10.9,60.4,8.257000889001784,4.35,27.8,112.2,0.33,6.5,33.1,1.302,3.31,26.0,583.3,331.0,2.0,0,4.0,2.067,4.5,82.7,5.49,2.6775000000000003e-09,8.262656369062741,0.2076502732240438,20.741167988464298,20.72697143268849
16.074,0.016,492.0,4.739,6.61,98.41,57.0,15.22792607802875,75.9984,9.2016,0.16,3.178,8.1,63.0,0.5425596072335619,7.97,28.2,61.5,0.23,6.8,8.3,0.133,2.5,18.0,343.3,249.0,2.0,0,8.0,2.067,8.625,21.6,8.18,2.76048e-10,0.5429312234028998,0.025672371638141806,578.3318982387475,577.9360516280435
17.7,2.457,675.0,23.803,6.97,242.07,59.0,5.650924024640657,3025.3445,142.5554999999999,0.061,6.208,7.4,62.1,7.449604773240555,4.42,30.0,79.4,0.22,7.0,30.8,0.851,3.19,14.0,473.3,319.0,2.0,0,4.0,3.068,4.5,77.0,5.49,4.276664999999998e-09,7.454707242263323,0.19489981785063756,23.359057739085905,23.343069335431498
9.810700000000002,4.716,2892.64,752.47756,6.775199999999999,247.92,58.0,23.70431211498973,13692.02562,63.27437999999893,0.33824,7.43572,46.43189,35.834,0.31535169330444834,5.83,16.915,302.012,2.124,12.304,116.62,3.21116,2.7064,16.96,2025.1,270.64,2.0,0,6.0,3.068,6.625,291.208,6.02,1.898231399999968e-09,0.3155676876149309,0.031561461794019856,727.8462869502544,727.3481033178447
20.1,4.833,675.0,23.803,6.97,244.31,67.0,1.256673511293634,6128.450400000001,99.64959999999974,0.061,6.208,7.4,62.1,31.30736108966771,4.49,30.0,79.4,0.22,7.0,30.8,0.851,3.19,14.0,473.3,319.0,3.0,0,4.0,3.068,4.5,77.0,5.49,2.989487999999992e-09,31.328804487674347,0.18214936247723132,5.646328767123288,5.642464065708417
